age,height,weight,legrest
20.0,150.0,40.0,1154.0
20.0,150.0,50.0,1154.0
20.0,150.0,60.0,915.0
20.0,150.0,70.0,959.5
20.0,150.0,80.0,738.0
20.0,150.0,90.0,738.0
20.0,160.0,40.0,1154.0
20.0,160.0,50.0,1154.0
20.0,160.0,60.0,915.0
20.0,160.0,70.0,867.5
20.0,160.0,80.0,959.5
20.0,160.0,90.0,738.0
20.0,170.0,40.0,1154.0
20.0,170.0,50.0,915.0
20.0,170.0,60.0,784.0
20.0,170.0,70.0,784.0
20.0,170.0,80.0,867.5
20.0,170.0,90.0,959.5
20.0,180.0,40.0,1154.0
20.0,180.0,50.0,915.0
20.0,180.0,60.0,784.0
20.0,180.0,70.0,784.0
20.0,180.0,80.0,784.0
20.0,180.0,90.0,867.5
30.0,150.0,40.0,1154.0
30.0,150.0,50.0,1154.0
30.0,150.0,60.0,915.0
30.0,150.0,70.0,959.5
30.0,150.0,80.0,738.0
30.0,150.0,90.0,738.0
30.0,160.0,40.0,1154.0
30.0,160.0,50.0,1154.0
30.0,160.0,60.0,915.0
30.0,160.0,70.0,867.5
30.0,160.0,80.0,959.5
30.0,160.0,90.0,738.0
30.0,170.0,40.0,1154.0
30.0,170.0,50.0,1154.0
30.0,170.0,60.0,915.0
30.0,170.0,70.0,784.0
30.0,170.0,80.0,867.5
30.0,170.0,90.0,959.5
30.0,180.0,40.0,1154.0
30.0,180.0,50.0,915.0
30.0,180.0,60.0,784.0
30.0,180.0,70.0,784.0
30.0,180.0,80.0,784.0
30.0,180.0,90.0,867.5
40.0,150.0,40.0,1154.0
40.0,150.0,50.0,1154.0
40.0,150.0,60.0,1154.0
40.0,150.0,70.0,959.5
40.0,150.0,80.0,738.0
40.0,150.0,90.0,738.0
40.0,160.0,40.0,1154.0
40.0,160.0,50.0,1154.0
40.0,160.0,60.0,1154.0
40.0,160.0,70.0,867.5
40.0,160.0,80.0,959.5
40.0,160.0,90.0,738.0
40.0,170.0,40.0,1154.0
40.0,170.0,50.0,1154.0
40.0,170.0,60.0,915.0
40.0,170.0,70.0,784.0
40.0,170.0,80.0,867.5
40.0,170.0,90.0,959.5
40.0,180.0,40.0,1154.0
40.0,180.0,50.0,1154.0
40.0,180.0,60.0,915.0
40.0,180.0,70.0,784.0
40.0,180.0,80.0,784.0
40.0,180.0,90.0,867.5
50.0,150.0,40.0,1154.0
50.0,150.0,50.0,1154.0
50.0,150.0,60.0,1154.0
50.0,150.0,70.0,959.5
50.0,150.0,80.0,738.0
50.0,150.0,90.0,738.0
50.0,160.0,40.0,1154.0
50.0,160.0,50.0,1154.0
50.0,160.0,60.0,1154.0
50.0,160.0,70.0,867.5
50.0,160.0,80.0,959.5
50.0,160.0,90.0,738.0
50.0,170.0,40.0,1154.0
50.0,170.0,50.0,1154.0
50.0,170.0,60.0,1154.0
50.0,170.0,70.0,915.0
50.0,170.0,80.0,867.5
50.0,170.0,90.0,959.5
50.0,180.0,40.0,1154.0
50.0,180.0,50.0,1154.0
50.0,180.0,60.0,915.0
50.0,180.0,70.0,784.0
50.0,180.0,80.0,784.0
50.0,180.0,90.0,867.5
60.0,150.0,40.0,1154.0
60.0,150.0,50.0,1154.0
60.0,150.0,60.0,1154.0
60.0,150.0,70.0,1154.0
60.0,150.0,80.0,738.0
60.0,150.0,90.0,738.0
60.0,160.0,40.0,1154.0
60.0,160.0,50.0,1154.0
60.0,160.0,60.0,1154.0
60.0,160.0,70.0,1154.0
60.0,160.0,80.0,959.5
60.0,160.0,90.0,738.0
60.0,170.0,40.0,1154.0
60.0,170.0,50.0,1154.0
60.0,170.0,60.0,1154.0
60.0,170.0,70.0,915.0
60.0,170.0,80.0,867.5
60.0,170.0,90.0,959.5
60.0,180.0,40.0,1154.0
60.0,180.0,50.0,1154.0
60.0,180.0,60.0,1154.0
60.0,180.0,70.0,915.0
60.0,180.0,80.0,784.0
60.0,180.0,90.0,867.5
70.0,150.0,40.0,1154.0
70.0,150.0,50.0,1154.0
70.0,150.0,60.0,1154.0
70.0,150.0,70.0,1154.0
70.0,150.0,80.0,738.0
70.0,150.0,90.0,738.0
70.0,160.0,40.0,1154.0
70.0,160.0,50.0,1154.0
70.0,160.0,60.0,1154.0
70.0,160.0,70.0,1154.0
70.0,160.0,80.0,959.5
70.0,160.0,90.0,738.0
70.0,170.0,40.0,1154.0
70.0,170.0,50.0,1154.0
70.0,170.0,60.0,1154.0
70.0,170.0,70.0,1154.0
70.0,170.0,80.0,867.5
70.0,170.0,90.0,959.5
70.0,180.0,40.0,1154.0
70.0,180.0,50.0,1154.0
70.0,180.0,60.0,1154.0
70.0,180.0,70.0,915.0
70.0,180.0,80.0,784.0
70.0,180.0,90.0,867.5
